"ID1,N,4,0","HHID,C,15","HVIDX,N,2,0","QHCLUSTER,N,4,0","QHNUMBER,N,3,0","QHHOME,N,2,0","PS104_1A,N,2,0","PS104_1M,N,2,0","PS104_1S,N,1,0","PS5,N,1,0"
2019,      001714901,2,17,149,1,2,1,2,1
2019,      003217701,2,32,177,1,1,0,2,1
2019,      003611001,2,36,110,1,0,1,2,1
2019,      003703901,2,37,39,1,8,0,2,1
2019,      003708001,2,37,80,1,1,0,2,1
2019,      003708101,3,37,81,1,5,0,2,1
2019,      003708201,2,37,82,1,3,2,2,1
2019,      003708401,2,37,84,1,2,0,2,1
2019,      003709801,2,37,98,1,2,3,2,1
2019,      003709901,2,37,99,1,10,6,2,1
2019,      003710001,2,37,100,1,10,0,2,1
2019,      003710101,2,37,101,1,4,0,2,1
2019,      003900301,1,39,3,1,0,6,1,1
2019,      003900301,3,39,3,1,0,6,2,2
2019,      004007401,1,40,74,1,2,6,2,1
2019,      004100401,1,41,4,1,10,4,2,1
2019,      004501301,2,45,13,1,10,0,2,1
2019,      004506301,2,45,63,1,5,0,2,1
2019,      004601001,2,46,10,1,98,98,2,1
2019,      004605701,2,46,57,1,8,0,2,1
2019,      004605901,2,46,59,1,0,6,2,1
2019,      004608201,1,46,82,1,5,0,1,1
2019,      004608201,2,46,82,1,5,0,1,2
2019,      004608201,3,46,82,1,4,0,1,3
2019,      004608201,4,46,82,1,1,0,2,4
2019,      004608301,2,46,83,1,1,0,2,1
2019,      005809201,2,58,92,1,2,0,2,1
2019,      009507001,2,95,70,1,2,0,2,1
2019,      010200601,2,102,6,1,1,0,2,1
2019,      010507101,2,105,71,1,10,0,2,1
2019,      010507601,2,105,76,1,5,0,2,1
2019,      010507701,2,105,77,1,0,5,2,1
2019,      010507901,1,105,79,1,7,0,2,1
2019,      010602201,2,106,22,1,5,0,2,1
2019,      010606701,2,106,67,1,9,0,2,1
2019,      011003201,2,110,32,1,10,0,1,1
2019,      011003201,4,110,32,1,7,0,2,2
2019,      011501901,1,115,19,1,6,0,2,1
2019,      011602701,1,116,27,1,2,0,1,1
2019,      011602701,3,116,27,1,2,0,1,2
2019,      011602701,6,116,27,1,2,0,2,3
2019,      011907401,2,119,74,1,1,0,2,1
2019,      013101101,2,131,11,1,2,0,2,1
2019,      013102401,2,131,24,1,1,0,2,1
2019,      013102601,2,131,26,1,0,5,2,1
2019,      013209501,2,132,95,1,0,1,2,1
2019,      013211701,2,132,117,1,1,3,2,1
2019,      013413301,1,134,133,1,2,0,2,1
2019,      013417901,2,134,179,1,1,0,2,1
2019,      013604401,2,136,44,1,2,0,2,1
2019,      013901101,1,139,11,1,1,5,2,1
2019,      013901301,5,139,13,1,3,0,1,1
2019,      013901301,6,139,13,1,2,0,2,2
2019,      013903401,2,139,34,1,2,0,2,1
2019,      013904001,2,139,40,1,5,0,2,1
2019,      013904201,2,139,42,1,0,6,2,1
2019,      014205401,2,142,54,1,2,0,2,1
2019,      014205501,2,142,55,1,3,0,2,1
2019,      014205601,2,142,56,1,2,0,2,1
2019,      014209401,2,142,94,1,10,0,2,1
2019,      014209501,2,142,95,1,3,0,2,1
2019,      014209601,2,142,96,1,3,0,2,1
2019,      014209701,1,142,97,1,10,0,2,1
2019,      014400901,2,144,9,1,4,0,2,1
2019,      014501101,2,145,11,1,0,6,2,1
2019,      014505201,1,145,52,1,1,0,2,1
2019,      014507101,2,145,71,1,2,0,2,1
