"ID1,N,4,0","HHID,C,15","HVIDX,N,2,0","QHCLUSTER,N,4,0","QHNUMBER,N,3,0","QHHOME,N,2,0","PS100_1A,N,2,0","PS100_1M,N,2,0","PS100_1S,N,1,0","PS3,N,1,0"
2019,      000301001,5,3,10,1,3,0,2,1
2019,      000502401,1,5,24,1,0,3,2,1
2019,      000503401,7,5,34,1,0,6,2,1
2019,      000701901,1,7,19,1,0,2,2,1
2019,      000713701,1,7,137,1,3,0,1,1
2019,      000713701,2,7,137,1,3,0,2,2
2019,      000803901,1,8,39,1,2,0,2,1
2019,      001303401,1,13,34,1,3,0,2,1
2019,      001310402,3,13,104,2,3,0,2,1
2019,      001405201,3,14,52,1,4,0,2,1
2019,      001514101,1,15,141,1,2,1,2,1
2019,      001601701,1,16,17,1,2,0,2,1
2019,      001603501,1,16,35,1,3,0,2,1
2019,      001706201,1,17,62,1,4,0,2,1
2019,      001710801,1,17,108,1,2,0,2,1
2019,      001712201,1,17,122,1,2,8,2,1
2019,      002311601,1,23,116,1,5,3,2,1
2019,      002518801,1,25,188,1,3,0,1,1
2019,      002518801,2,25,188,1,3,0,2,2
2019,      002610101,6,26,101,1,2,0,2,1
2019,      002610901,1,26,109,1,3,0,2,1
2019,      002903601,1,29,36,1,0,1,2,1
2019,      003210001,6,32,100,1,1,0,2,1
2019,      003300401,1,33,4,1,4,0,1,1
2019,      003300401,2,33,4,1,0,3,2,2
2019,      003501401,1,35,14,1,2,0,2,1
2019,      003501601,1,35,16,1,7,0,2,1
2019,      003502601,1,35,26,1,0,6,2,1
2019,      003600901,1,36,9,1,0,4,2,1
2019,      003602201,3,36,22,1,2,0,1,1
2019,      003602201,4,36,22,1,4,0,2,2
2019,      003602301,1,36,23,1,4,0,2,1
2019,      003704201,1,37,42,1,4,1,2,1
2019,      003708301,1,37,83,1,6,0,1,1
2019,      003708301,2,37,83,1,7,6,2,2
2019,      003710001,2,37,100,1,2,0,2,1
2019,      003815201,4,38,152,1,2,0,2,1
2019,      004011701,1,40,117,1,3,0,1,1
2019,      004011701,3,40,117,1,0,8,2,2
2019,      004102901,1,41,29,1,3,0,2,1
2019,      004109401,1,41,94,1,5,0,2,1
2019,      004203901,1,42,39,1,2,1,1,1
2019,      004203901,2,42,39,1,2,1,2,2
2019,      004204901,1,42,49,1,4,1,1,1
2019,      004204901,2,42,49,1,0,2,2,2
2019,      004303601,2,43,36,1,2,0,2,1
2019,      004404401,1,44,44,1,1,1,2,1
2019,      004501301,1,45,13,1,5,0,1,1
2019,      004501301,2,45,13,1,2,0,2,2
2019,      004501401,1,45,14,1,1,0,2,1
2019,      004700101,4,47,1,1,3,0,2,1
2019,      004903901,1,49,39,1,1,0,1,1
2019,      004903901,2,49,39,1,1,0,2,2
2019,      005004901,5,50,49,1,98,7,2,1
2019,      005005001,1,50,50,1,0,3,1,1
2019,      005005001,2,50,50,1,0,3,2,2
2019,      005106801,1,51,68,1,2,0,2,1
2019,      005210601,2,52,106,1,3,0,2,1
2019,      005300101,10,53,1,1,1,0,1,1
2019,      005300101,11,53,1,1,1,0,2,2
2019,      005311801,1,53,118,1,5,0,1,1
2019,      005311801,2,53,118,1,5,0,2,2
2019,      005500401,1,55,4,1,3,98,2,1
2019,      005500701,2,55,7,1,1,8,2,1
2019,      005503001,1,55,30,1,6,6,2,1
2019,      005504501,1,55,45,1,3,98,2,1
2019,      005504701,1,55,47,1,3,3,2,1
2019,      005610601,7,56,106,1,6,0,2,1
2019,      005702601,2,57,26,1,8,0,2,1
2019,      005703001,1,57,30,1,2,0,2,1
2019,      005703401,1,57,34,1,2,0,1,1
2019,      005703401,2,57,34,1,2,0,2,2
2019,      008403601,5,84,36,1,2,4,2,1
2019,      009401501,1,94,15,1,1,6,2,1
2019,      009412301,1,94,123,1,8,0,2,1
2019,      009507001,2,95,70,1,2,0,2,1
2019,      009600801,1,96,8,1,1,8,2,1
2019,      009603101,1,96,31,1,4,2,1,1
2019,      009603101,2,96,31,1,4,6,2,2
2019,      009700801,6,97,8,1,5,0,2,1
2019,      009702001,1,97,20,1,4,2,2,1
2019,      009803301,1,98,33,1,3,0,2,1
2019,      010009801,1,100,98,1,0,8,2,1
2019,      010101001,1,101,10,1,6,0,1,1
2019,      010101001,2,101,10,1,8,0,2,2
2019,      010101601,1,101,16,1,3,0,2,1
2019,      010104001,1,101,40,1,5,0,2,1
2019,      010104101,1,101,41,1,4,0,2,1
2019,      010104701,1,101,47,1,98,98,2,1
2019,      010104901,1,101,49,1,0,4,2,1
2019,      010304701,2,103,47,1,1,0,2,1
2019,      010400601,1,104,6,1,2,0,1,1
2019,      010400601,3,104,6,1,2,0,2,2
2019,      010401801,1,104,18,1,4,0,2,1
2019,      010901401,3,109,14,1,4,0,2,1
2019,      010904201,1,109,42,1,98,98,2,1
2019,      011002501,7,110,25,1,5,0,2,1
2019,      011104701,1,111,47,1,3,0,2,1
2019,      011210901,1,112,109,1,7,0,2,1
2019,      011301301,1,113,13,1,3,0,1,1
2019,      011301301,2,113,13,1,2,0,2,2
2019,      011301501,1,113,15,1,5,0,1,1
2019,      011301501,2,113,15,1,5,0,2,2
2019,      011302801,1,113,28,1,2,0,2,1
2019,      011401201,1,114,12,1,1,0,1,1
2019,      011401201,2,114,12,1,1,0,2,2
2019,      011402101,1,114,21,1,2,0,2,1
2019,      011504301,1,115,43,1,5,0,2,1
2019,      011915501,1,119,155,1,6,0,2,1
2019,      012313401,5,123,134,1,1,0,2,1
2019,      012317801,4,123,178,1,3,0,2,1
2019,      012405501,1,124,55,1,3,0,1,1
2019,      012405501,2,124,55,1,3,0,2,2
2019,      013206201,1,132,62,1,3,0,2,1
2019,      013808101,1,138,81,1,3,98,2,1
2019,      013901401,1,139,14,1,98,98,1,1
2019,      013901401,2,139,14,1,98,98,2,2
2019,      013904201,1,139,42,1,2,0,2,1
2019,      014001001,5,140,10,1,5,0,2,1
2019,      014006001,1,140,60,1,2,0,1,1
2019,      014006001,2,140,60,1,2,0,2,2
2019,      014007101,1,140,71,1,2,0,2,1
2019,      014105201,5,141,52,1,3,0,2,1
2019,      014105301,1,141,53,1,3,0,2,1
2019,      014106701,4,141,67,1,4,0,2,1
2019,      014111501,1,141,115,1,3,0,2,1
2019,      014111601,4,141,116,1,0,6,2,1
2019,      014505201,1,145,52,1,0,8,2,1
2019,      014509601,5,145,96,1,5,0,2,1
2019,      014512701,1,145,127,1,2,0,1,1
2019,      014512701,2,145,127,1,2,0,2,2
2019,      014602101,1,146,21,1,2,0,2,1
2019,      014605401,1,146,54,1,3,0,2,1
2019,      014701601,1,147,16,1,98,98,2,1
2019,      014702901,1,147,29,1,4,0,2,1
2019,      014800401,1,148,4,1,3,0,2,1
2019,      014800601,1,148,6,1,4,0,2,1
2019,      014800701,3,148,7,1,4,0,2,1
2019,      014801101,1,148,11,1,4,0,1,1
2019,      014801101,2,148,11,1,3,0,2,2
2019,      014801301,1,148,13,1,1,3,2,1
2019,      014804101,1,148,41,1,1,6,2,1
2019,      014804201,1,148,42,1,1,0,2,1
2019,      014900601,1,149,6,1,0,3,1,1
2019,      014900601,2,149,6,1,1,0,2,2
2019,      014902901,1,149,29,1,2,0,2,1
2019,      014903301,1,149,33,1,1,10,2,1
2019,      014904501,1,149,45,1,5,98,2,1
2019,      014904801,1,149,48,1,3,0,2,1
2019,      015003201,1,150,32,1,5,0,2,1
2019,      015003401,1,150,34,1,4,0,1,1
2019,      015003401,2,150,34,1,4,0,2,2
2019,      015004601,1,150,46,1,3,0,1,1
2019,      015004601,2,150,46,1,2,0,2,2
2019,      015101601,1,151,16,1,5,0,2,1
2019,      015104401,1,151,44,1,4,0,2,1
2019,      015104601,1,151,46,1,2,6,1,1
2019,      015104601,2,151,46,1,2,6,2,2
2019,      015108401,1,151,84,1,2,0,2,1
2019,      015109001,1,151,90,1,5,1,2,1
2019,      015204101,1,152,41,1,2,0,1,1
2019,      015204101,3,152,41,1,2,0,2,2
2019,      015300901,1,153,9,1,4,0,1,1
2019,      015300901,2,153,9,1,4,0,2,2
2019,      015304401,2,153,44,1,1,5,2,1
2019,      015304601,4,153,46,1,1,0,2,1
2019,      015307701,1,153,77,1,3,0,1,1
2019,      015307701,2,153,77,1,3,0,2,2
2019,      015401301,1,154,13,1,3,98,2,1
2019,      015401401,1,154,14,1,2,0,1,1
2019,      015401401,2,154,14,1,2,0,2,2
2019,      015401501,1,154,15,1,2,0,2,1
2019,      015403401,1,154,34,1,5,0,2,1
2019,      015404101,1,154,41,1,4,0,2,1
2019,      015503501,1,155,35,1,5,98,1,1
2019,      015503501,2,155,35,1,4,5,2,2
2019,      015503701,1,155,37,1,7,0,2,1
2019,      015506301,1,155,63,1,2,0,1,1
2019,      015506301,2,155,63,1,2,0,2,2
2019,      015600201,1,156,2,1,6,0,1,1
2019,      015600201,2,156,2,1,6,0,2,2
2019,      015601701,1,156,17,1,3,2,2,1
2019,      015603201,1,156,32,1,5,6,2,1
2019,      015604001,2,156,40,1,4,8,2,1
2019,      015604201,1,156,42,1,5,0,2,1
2019,      015700701,1,157,7,1,0,6,2,1
2019,      015704501,1,157,45,1,2,0,2,1
2019,      015707801,1,157,78,1,6,0,1,1
2019,      015707801,2,157,78,1,1,6,2,2
2019,      015801501,1,158,15,1,4,0,2,1
2019,      015802201,1,158,22,1,4,0,2,1
2019,      015901701,1,159,17,1,1,0,2,1
2019,      015902301,1,159,23,1,4,0,1,1
2019,      015902301,2,159,23,1,4,0,2,2
2019,      015902601,1,159,26,1,2,0,2,1
2019,      015902901,1,159,29,1,6,0,2,1
2019,      016001201,2,160,12,1,4,0,2,1
2019,      016001501,1,160,15,1,4,0,2,1
2019,      016005801,3,160,58,1,1,0,2,1
2019,      016007901,3,160,79,1,0,4,1,1
2019,      016007901,4,160,79,1,1,0,2,2
2019,      016100701,1,161,7,1,2,0,2,1
2019,      016201501,1,162,15,1,2,0,1,1
2019,      016201501,2,162,15,1,2,0,2,2
2019,      016203601,1,162,36,1,1,0,2,1
2019,      016205301,1,162,53,1,5,0,1,1
2019,      016205301,2,162,53,1,3,1,2,2
2019,      016205501,2,162,55,1,1,0,2,1
2019,      016206101,3,162,61,1,4,0,2,1
2019,      016303201,1,163,32,1,1,6,2,1
2019,      016303401,4,163,34,1,4,0,2,1
2019,      016303701,1,163,37,1,4,0,1,1
2019,      016303701,2,163,37,1,4,0,2,2
2019,      016303901,1,163,39,1,6,0,2,1
2019,      016309701,1,163,97,1,3,0,2,1
2019,      016502301,3,165,23,1,2,0,2,1
2019,      016502401,1,165,24,1,0,7,1,1
2019,      016502401,2,165,24,1,2,0,2,2
2019,      016506501,1,165,65,1,6,0,1,1
2019,      016506501,2,165,65,1,2,1,2,2
2019,      016600601,1,166,6,1,2,0,2,1
2019,      016601901,1,166,19,1,3,0,1,1
2019,      016601901,2,166,19,1,3,0,2,2
2019,      016602801,1,166,28,1,1,4,2,1
2019,      016604601,1,166,46,1,3,0,2,1
2019,      016712801,4,167,128,1,1,0,2,1
2019,      016713901,1,167,139,1,0,3,2,1
2019,      017312001,5,173,120,1,4,0,2,1
2019,      020910101,8,209,101,1,1,6,2,1
