"ID1,N,4,0","HHID,C,15","HVIDX,N,2,0","QHCLUSTER,N,4,0","QHNUMBER,N,3,0","QHHOME,N,2,0","PS92_1A,N,2,0","PS92_1M,N,2,0","PS92_1S,N,1,0","PS1,N,1,0"
2019,      015209101,3,152,91,1,1,6,2,1
2019,      027000101,2,270,1,1,0,2,2,1
2019,      027902501,3,279,25,1,0,4,2,1
2019,      038002401,3,380,24,1,0,4,2,1
2019,      047303701,1,473,37,1,4,4,2,1
2019,      063709901,7,637,99,1,0,1,2,1
2019,      067617701,2,676,177,1,1,4,2,1
2019,      067902701,2,679,27,1,4,6,2,1
2019,      076006101,3,760,61,1,1,6,2,1
2019,      079006901,3,790,69,1,2,3,2,1
2019,      081000201,4,810,2,1,2,5,2,1
2019,      083600501,2,836,5,1,2,0,2,1
2019,      090608101,6,906,81,1,0,6,2,1
2019,      091000801,1,910,8,1,4,6,2,1
2019,      091607601,4,916,76,1,3,3,2,1
2019,      092010201,4,920,102,1,2,0,2,1
2019,      105212101,4,1052,121,1,2,3,2,1
2019,      105704201,5,1057,42,1,1,1,2,1
2019,      108712201,2,1087,122,1,2,1,2,1
2019,      110204301,4,1102,43,1,1,1,2,1
2019,      114800801,4,1148,8,1,0,9,2,1
2019,      115309201,3,1153,92,1,3,1,2,1
2019,      138407901,4,1384,79,1,2,4,2,1
2019,      157211201,3,1572,112,1,0,3,2,1
2019,      163814601,3,1638,146,1,4,0,2,1
2019,      164310901,1,1643,109,1,5,7,2,1
2019,      182401001,3,1824,10,1,4,7,2,1
2019,      184600901,5,1846,9,1,0,5,2,1
2019,      188305201,5,1883,52,1,2,0,2,1
2019,      198407501,3,1984,75,1,2,7,2,1
2019,      198510501,4,1985,105,1,1,6,2,1
2019,      198711501,2,1987,115,1,0,8,2,1
2019,      201804301,3,2018,43,1,3,6,2,1
2019,      217607301,1,2176,73,1,1,6,2,1
2019,      229003401,3,2290,34,1,3,7,2,1
2019,      230205101,3,2302,51,1,2,7,2,1
2019,      238505301,6,2385,53,1,0,2,2,1
2019,      243904001,4,2439,40,1,5,0,2,1
2019,      244811401,6,2448,114,1,1,6,2,1
2019,      244902201,1,2449,22,1,0,6,2,1
2019,      245208901,3,2452,89,1,2,6,2,1
2019,      251000601,3,2510,6,1,0,7,2,1
2019,      268402003,5,2684,20,3,2,8,2,1
2019,      273405201,4,2734,52,1,0,1,2,1
2019,      274209301,2,2742,93,1,2,7,2,1
2019,      274702301,1,2747,23,1,2,0,2,1
2019,      286810701,6,2868,107,1,2,0,2,1
2019,      314003001,5,3140,30,1,4,0,2,1
2019,      314605901,3,3146,59,1,3,6,2,1
2019,      317309401,3,3173,94,1,2,0,2,1
2019,      318806601,3,3188,66,1,2,0,2,1
2019,      320413101,7,3204,131,1,0,2,2,1
