"ID1,N,4,0","HHID,C,15","HVIDX,N,2,0","QHCLUSTER,N,4,0","QHNUMBER,N,3,0","QHHOME,N,2,0","PS107_1A,N,2,0","PS107_1M,N,2,0","PS107_1S,N,1,0","PS6,N,1,0"
2019,      001200401,4,12,4,1,0,3,2,1
2019,      003708001,3,37,80,1,0,6,2,1
2019,      004408901,3,44,89,1,0,5,2,1
2019,      004708901,6,47,89,1,0,6,2,1
2019,      006301201,4,63,12,1,1,0,2,1
2019,      006701701,4,67,17,1,1,6,2,1
2019,      007202901,3,72,29,1,0,9,1,1
2019,      007202901,4,72,29,1,0,9,2,2
2019,      007303901,4,73,39,1,0,9,2,1
2019,      007906301,5,79,63,1,1,2,2,1
2019,      008605301,5,86,53,1,0,5,2,1
2019,      008810101,7,88,101,1,2,1,2,1
2019,      008901901,5,89,19,1,1,0,2,1
2019,      009008801,3,90,88,1,0,7,2,1
2019,      009702801,6,97,28,1,1,0,2,1
2019,      011209501,3,112,95,1,0,1,2,1
2019,      011210901,4,112,109,1,0,3,1,1
2019,      011210901,6,112,109,1,0,10,2,2
2019,      011211001,4,112,110,1,0,2,2,1
2019,      011406101,4,114,61,1,0,3,2,1
2019,      011919301,7,119,193,1,0,5,2,1
2019,      012404601,4,124,46,1,0,1,2,1
2019,      012411801,8,124,118,1,1,6,2,1
2019,      012715901,4,127,159,1,0,6,2,1
2019,      012804501,3,128,45,1,1,0,2,1
2019,      013011801,5,130,118,1,1,4,2,1
2019,      013301401,3,133,14,1,1,0,2,1
2019,      013311601,3,133,116,1,0,5,2,1
2019,      013312101,5,133,121,1,1,11,2,1
2019,      014302101,4,143,21,1,0,7,2,1
2019,      014308501,3,143,85,1,0,4,2,1
2019,      014409601,4,144,96,1,1,0,2,1
2019,      014409701,4,144,97,1,0,8,2,1
2019,      014410001,8,144,100,1,0,1,1,1
2019,      014410001,9,144,100,1,0,1,2,2
2019,      014501101,4,145,11,1,2,1,2,1
2019,      014501701,4,145,17,1,1,8,2,1
2019,      014504001,5,145,40,1,0,5,2,1
2019,      014507101,5,145,71,1,1,7,2,1
2019,      014510701,5,145,107,1,0,5,2,1
2019,      015209401,3,152,94,1,0,1,2,1
2019,      015403501,5,154,35,1,0,1,2,1
2019,      015707301,5,157,73,1,1,0,2,1
2019,      018900401,4,189,4,1,1,4,2,1
2019,      019201401,3,192,14,1,0,1,2,1
2019,      019201801,5,192,18,1,0,1,1,1
2019,      019201801,9,192,18,1,2,0,2,2
2019,      020008701,3,200,87,1,2,8,2,1
2019,      022112601,3,221,126,1,0,9,2,1
2019,      022409301,3,224,93,1,1,2,2,1
2019,      023111201,4,231,112,1,0,6,2,1
2019,      023408501,5,234,85,1,0,2,2,1
2019,      023701801,5,237,18,1,0,1,2,1
2019,      023709401,8,237,94,1,0,3,2,1
2019,      023800301,6,238,3,1,0,8,2,1
2019,      024404001,6,244,40,1,0,9,2,1
2019,      024913201,4,249,132,1,0,6,2,1
2019,      025206101,4,252,61,1,0,6,2,1
2019,      025209801,3,252,98,1,1,9,2,1
2019,      025512301,5,255,123,1,0,2,2,1
2019,      025804801,6,258,48,1,1,0,2,1
2019,      025903301,4,259,33,1,3,0,2,1
2019,      026102101,5,261,21,1,0,2,2,1
2019,      026201601,5,262,16,1,0,10,2,1
2019,      026203701,5,262,37,1,2,0,2,1
2019,      026205301,4,262,53,1,1,0,2,1
2019,      026604101,4,266,41,1,0,2,2,1
2019,      026605101,7,266,51,1,0,4,2,1
2019,      026702401,5,267,24,1,0,8,2,1
2019,      026808501,4,268,85,1,0,11,2,1
2019,      027002001,6,270,20,1,0,3,2,1
2019,      027004201,5,270,42,1,0,3,2,1
2019,      027207301,4,272,73,1,0,1,2,1
2019,      027209001,5,272,90,1,0,6,2,1
2019,      027209301,4,272,93,1,1,3,2,1
2019,      027900201,4,279,2,1,0,1,2,1
2019,      027902201,9,279,22,1,1,0,2,1
2019,      027905301,5,279,53,1,1,0,2,1
2019,      028901801,4,289,18,1,0,4,2,1
2019,      028903101,3,289,31,1,1,0,2,1
2019,      028903201,4,289,32,1,0,3,2,1
2019,      029005101,4,290,51,1,0,2,2,1
2019,      029501301,11,295,13,1,0,2,2,1
2019,      029501701,5,295,17,1,1,1,2,1
2019,      029703701,5,297,37,1,1,0,2,1
2019,      029721401,4,297,214,1,1,0,2,1
2019,      030617201,4,306,172,1,0,6,2,1
2019,      030807001,4,308,70,1,0,9,2,1
2019,      031206901,4,312,69,1,0,1,2,1
2019,      031311001,5,313,110,1,0,2,2,1
2019,      031604901,5,316,49,1,2,2,2,1
2019,      031607801,5,316,78,1,0,11,2,1
2019,      031611201,4,316,112,1,0,6,2,1
2019,      031801601,4,318,16,1,1,98,2,1
2019,      031809601,3,318,96,1,1,98,2,1
2019,      031915201,3,319,152,1,2,0,2,1
